Course,Handed,Sex,Verbal,Age
 Social,right,male,630,20.83
 Social,right,female,NA,19
 Social,right,male,540,19.42
 Social,right,female,460,19.67
 Social,left,female,NA,19.83
 Social,right,female,500,20.67
 Social,right,female,700,20.17
 Social,left,male,NA,20.75
 Social,left,female,510,45.58
 Social,right,female,560,18.58
 Social,right,female,680,19.5
 Social,right,male,480,18.83
 Social,right,female,520,19.17
 Social,right,female,720,19.42
 Social,right,female,790,19.25
 Social,right,female,610,20.17
 Social,right,female,NA,18.67
 Social,right,female,650,22
 Social,right,female,680,19.17
 Social,right,female,590,20.58
 Social,right,female,590,19
 Social,right,female,700,19.5
 Social,right,male,550,22.17
 Social,right,female,580,22.67
 Social,right,male,610,19.83
 Social,right,female,580,19.25
 Social,right,male,520,19.42
 Social,right,female,670,19.33
 Social,left,female,535,18.08
 Social,right,female,640,19.25
 Social,right,male,600,19
 Social,right,female,500,18
 Social,right,female,620,19.25
 Social,right,female,NA,19.92
 Social,right,male,580,23.08
 Social,right,male,610,19.42
 Social,right,male,570,19.25
 Social,left,female,570,19
 Social,right,male,570,19.33
 Social,right,female,610,19.58
 Social,right,female,600,19.58
 Social,right,male,520,19.92
 Social,right,male,580,20
 Social,right,female,620,19
 Social,left,female,550,19.58
 Social,right,female,530,19.75
 Social,left,female,660,20.83
 Social,right,female,500,19.08
 Social,right,female,640,23.83
 Social,right,female,510,19.33
 Social,right,female,600,19.17
 Social,right,male,650,19.83
 Social,right,male,NA,20.25
 Social,right,female,600,19.17
 Social,left,male,470,19.92
 Social,right,female,600,19.33
 Social,left,female,550,21.92
 Social,right,female,610,20
 Social,right,female,570,19.58
 Social,right,female,560,19.08
 Social,left,male,590,22.17
 Social,left,female,500,20
 Social,right,female,610,19.58
 Social,right,female,550,19.33
 Social,right,female,550,21.75
 Social,left,male,640,19.5
 Social,right,male,400,19.5
 Social,right,female,580,20.67
 Social,right,female,650,19.58
 Social,right,female,500,20.08
 Social,right,female,620,20.83
Natural,right,female,500,19.17
Natural,right,female,590,20.33
Natural,right,female,600,19.83
Natural,left,female,600,20.17
Natural,right,male,NA,19.58
Natural,right,male,600,19.67
Natural,right,male,600,19.67
Natural,right,male,450,19.58
Natural,left,male,690,21.17
Natural,right,male,470,19.58
Natural,left,male,520,21.17
Natural,right,female,630,19.33
Natural,right,male,620,21.17
Natural,right,female,510,19.83
Natural,right,female,560,18.92
Natural,right,female,600,19.25
Natural,right,female,660,18.17
Natural,right,female,460,20.33
Natural,right,male,NA,19.42
Natural,right,male,NA,22.58
Natural,right,female,510,20.33
Natural,right,female,640,20
Natural,right,female,NA,19.17
Natural,right,female,700,19.08
Natural,right,male,600,20.25
 Social,right,female,760,21.25
Natural,right,female,790,19.25
Natural,right,female,670,18.92
Natural,right,male,660,21
Natural,right,female,540,18.5
Natural,right,female,510,19.42
Natural,right,female,570,22.33
Natural,left,male,400,19.08
Natural,right,female,630,22.75
Natural,right,female,750,20.5
Natural,right,female,700,19.75
Natural,right,male,580,19.58
Natural,right,male,600,19.92
Natural,right,female,720,22.75
Natural,right,female,590,19.92
Natural,right,male,540,19.25
Natural,right,male,580,19.08
Natural,left,female,NA,21.25
 Social,right,female,520,19.17
Natural,right,male,680,20.25
Natural,right,female,600,19.17
Natural,right,male,780,21.75
Natural,right,female,540,23.5
Natural,right,male,570,19.83
Natural,right,male,680,20.25
Natural,right,male,620,20.75
Natural,right,male,540,19.42
Natural,right,male,NA,20.67
Natural,left,male,580,21
Natural,right,female,NA,17.92
Natural,right,male,650,20.42
Natural,left,male,650,19.25
Natural,right,female,600,19.58
Natural,right,male,750,20.42
Natural,right,male,520,20
Natural,right,male,NA,19.42
Natural,right,male,550,21.67
Natural,right,female,720,19.5
Natural,right,female,630,18.83
Natural,right,male,550,21.33
Natural,right,female,NA,19.75
Natural,right,female,540,19.58
Natural,right,male,690,20.08
Natural,right,female,540,18.5
Natural,right,male,590,20.5
Natural,right,male,510,19.75
Natural,right,female,590,19
Natural,right,female,560,19.08
